quantiles, degrees
 2.500e-2,   1
 5.000e-2,   1
 7.500e-2,   1
 1.000e-1,   2
 1.250e-1,   2
 1.500e-1,   2
 1.750e-1,   2
 2.000e-1,   3
 2.250e-1,   3
 2.500e-1,   3
 2.750e-1,   3
 3.000e-1,   3
 3.250e-1,   3
 3.500e-1,   4
 3.750e-1,   4
 4.000e-1,   4
 4.250e-1,   4
 4.500e-1,   4
 4.750e-1,   4
 5.000e-1,   4
 5.250e-1,   4
 5.500e-1,   5
 5.750e-1,   5
 6.000e-1,   5
 6.250e-1,   5
 6.500e-1,   5
 6.750e-1,   5
 7.000e-1,   5
 7.250e-1,   6
 7.500e-1,   6
 7.750e-1,   6
 8.000e-1,   7
 8.250e-1,   7
 8.500e-1,   8
 8.750e-1,   9
 9.000e-1,   10
 9.250e-1,   11
 9.500e-1,   14
 9.750e-1,   18
 9.900e-1,   27
 9.990e-1,   80
