quantiles, degrees
 2.500e-2,   1
 5.000e-2,   1
 7.500e-2,   1
 1.000e-1,   1
 1.250e-1,   1
 1.500e-1,   2
 1.750e-1,   2
 2.000e-1,   2
 2.250e-1,   2
 2.500e-1,   2
 2.750e-1,   2
 3.000e-1,   2
 3.250e-1,   3
 3.500e-1,   3
 3.750e-1,   3
 4.000e-1,   3
 4.250e-1,   3
 4.500e-1,   3
 4.750e-1,   3
 5.000e-1,   4
 5.250e-1,   4
 5.500e-1,   4
 5.750e-1,   4
 6.000e-1,   5
 6.250e-1,   5
 6.500e-1,   5
 6.750e-1,   6
 7.000e-1,   6
 7.250e-1,   6
 7.500e-1,   7
 7.750e-1,   8
 8.000e-1,   8
 8.250e-1,   9
 8.500e-1,   10
 8.750e-1,   12
 9.000e-1,   14
 9.250e-1,   17
 9.500e-1,   21
 9.750e-1,   31
 9.900e-1,   50
 9.990e-1,   147
